40		AAKFUMPLS0U6N		742		0		0		0,1		s2_m04_v03_e21		279.695		apply to nose====click for eyebrows tutorial
41		AWTJ1X4WZQ7H6		742		0		0		1,0		s2_m04_v03_e21		279.695		apply to nose====click for eyebrows tutorial
42		A387OFOUJEG6FT		742		0		0		1,0		s2_m04_v03_e21		279.695		apply to nose====click for eyebrows tutorial
43		AAKFUMPLS0U6N		743		1		1		0,1		s2_m04_v03_e22		287.055		apply lip stick pink====apply the pink color lipstick
44		AWTJ1X4WZQ7H6		743		1		1		0,1		s2_m04_v03_e22		287.055		apply lip stick pink====apply the pink color lipstick
45		A1S88VQY8G8CNC		743		1		1		0,1		s2_m04_v03_e22		287.055		apply lip stick pink====apply the pink color lipstick
46		A1EWWOC8QBYU2C		744		noop		noop		0,2,1		s2_m04_v03_e23		144.646666667		apply eye shadow ====paint lid with brown====Blend color on lid with color on the crease of lid
47		A3ABJN1IL7UCZ8		744		2		2		2,1,0		s2_m04_v03_e23		144.646666667		apply eye shadow ====paint lid with brown====Blend color on lid with color on the crease of lid
48		AAKFUMPLS0U6N		744		1		1		1,2,0		s2_m04_v03_e23		144.646666667		apply eye shadow ====paint lid with brown====Blend color on lid with color on the crease of lid
49		AAKFUMPLS0U6N		745		1		1		0,1,2		s2_m04_v03_e24		163.703333333		blend colors on lids====Add light color to under eyebrow area====apply eye shadow 
50		A1S88VQY8G8CNC		745		0		0		0,1,2		s2_m04_v03_e24		163.703333333		blend colors on lids====Add light color to under eyebrow area====apply eye shadow 
51		AWTJ1X4WZQ7H6		745		1		1		2,0,1		s2_m04_v03_e24		163.703333333		blend colors on lids====Add light color to under eyebrow area====apply eye shadow 
52		AAKFUMPLS0U6N		746		2		2		1,2,0		s2_m04_v03_e26		250.41		apply talc powder evenly====applying powder====set everything with favorite powder
53		AWTJ1X4WZQ7H6		746		0		0		0,1,2		s2_m04_v03_e26		250.41		apply talc powder evenly====applying powder====set everything with favorite powder
54		A25PXKGSG8FL55		746		0		0		1,0,2		s2_m04_v03_e26		250.41		apply talc powder evenly====applying powder====set everything with favorite powder
55		A1EWWOC8QBYU2C		747		noop		noop		1,2,0		s2_m04_v03_e27		174.82		blend soft brown color====apply eye shadow and mascara====white eye shadow
56		AAKFUMPLS0U6N		747		noop		noop		1,2,0		s2_m04_v03_e27		174.82		blend soft brown color====apply eye shadow and mascara====white eye shadow
57		A1S88VQY8G8CNC		747		2		2		0,1,2		s2_m04_v03_e27		174.82		blend soft brown color====apply eye shadow and mascara====white eye shadow
58		AAKFUMPLS0U6N		748		1		1		0,1		s2_m04_v03_e29		93.12		moisturize face====Moisturize face before foundation application
59		AWTJ1X4WZQ7H6		748		1		1		1,0		s2_m04_v03_e29		93.12		moisturize face====Moisturize face before foundation application
60		A387OFOUJEG6FT		748		1		1		1,0		s2_m04_v03_e29		93.12		moisturize face====Moisturize face before foundation application
61		AAKFUMPLS0U6N		749		1		1		0,1		s2_m04_v03_e30		98.265		moisturize lips====moisturize lips with lip balm before lipstick application
62		A1C25UTNVMVTNM		749		0		0		1,0		s2_m04_v03_e30		98.265		moisturize lips====moisturize lips with lip balm before lipstick application
63		AWTJ1X4WZQ7H6		749		1		1		1,0		s2_m04_v03_e30		98.265		moisturize lips====moisturize lips with lip balm before lipstick application
64		AAKFUMPLS0U6N		750		1		1		1,0		s2_m04_v03_e31		260.855		adding bronzer====apply bronzer
65		AWTJ1X4WZQ7H6		750		1		1		0,1		s2_m04_v03_e31		260.855		adding bronzer====apply bronzer
66		A2PYHO7795COYH		750		0		0		1,0		s2_m04_v03_e31		260.855		adding bronzer====apply bronzer
67		AAKFUMPLS0U6N		1032		1		1		0,1		s2_p04_v02_e03		190.265		Rasterize layer====now right click rastiere layer make sure the hardness is little less
68		AWTJ1X4WZQ7H6		1032		1		1		1,0		s2_p04_v02_e03		190.265		Rasterize layer====now right click rastiere layer make sure the hardness is little less
69		A1S88VQY8G8CNC		1032		1		1		0,1		s2_p04_v02_e03		190.265		Rasterize layer====now right click rastiere layer make sure the hardness is little less
70		A1V21MT3A7DT82		1033		2		2		0,1,2		s2_p04_v02_e04		86.73		changing the colors of the edges of layer 1====20% and here again====change the curves
71		AAKFUMPLS0U6N		1033		2		2		1,0,2		s2_p04_v02_e04		86.73		changing the colors of the edges of layer 1====20% and here again====change the curves
72		AWTJ1X4WZQ7H6		1033		0		0		2,0,1		s2_p04_v02_e04		86.73		changing the colors of the edges of layer 1====20% and here again====change the curves
73		AAKFUMPLS0U6N		1034		1		1		0,1		s2_p04_v02_e05		236.825		Go to Google and search for grunge textures====Go to Google and search for Textures
74		AWTJ1X4WZQ7H6		1034		0		0		0,1		s2_p04_v02_e05		236.825		Go to Google and search for grunge textures====Go to Google and search for Textures
75		A387OFOUJEG6FT		1034		1		1		0,1		s2_p04_v02_e05		236.825		Go to Google and search for grunge textures====Go to Google and search for Textures
76		AAKFUMPLS0U6N		1035		1		1		1,0		s2_p04_v02_e06		240.575		choose your texture and copy image====Create a new layer
77		AWTJ1X4WZQ7H6		1035		0		0		0,1		s2_p04_v02_e06		240.575		choose your texture and copy image====Create a new layer
78		A387OFOUJEG6FT		1035		0		0		1,0		s2_p04_v02_e06		240.575		choose your texture and copy image====Create a new layer
79		A1EWWOC8QBYU2C		1036		0		0		0,1		s2_p04_v02_e07		242.365		Create New Layer and paste texture==== Copy image 
80		AAKFUMPLS0U6N		1036		0		0		1,0		s2_p04_v02_e07		242.365		Create New Layer and paste texture==== Copy image 
81		AWTJ1X4WZQ7H6		1036		0		0		0,1		s2_p04_v02_e07		242.365		Create New Layer and paste texture==== Copy image 
