41		A16D2GVNFHEB9V		41		0		0		1,0		s2_c01_v03_e11		how important is it to put====round the sause 
42		A16D2GVNFHEB9V		42		2		2		1,2,0		s2_c01_v03_e12		put the right amount on====we====ADD SALT AND PEPPER
43		A1BSOOHNHX51RI		43		@		when it is done take it out		2,1,0		s2_c01_v03_e14		When it is done remove it from the oven====Remove pizza from oven when done====when your eyes seem
44		AWG0O1Y2ZKL2E		44		@		olive oil		0,1		s2_c01_v03_e15		add basil====chicken barsala is ready
45		A2UXAPATCEML4Q		45		2		2		2,0,1		s2_c01_v03_e16		Add fresh basil to the pizza====Add Fresh Basil====add fresh basil
46		A3E3QXLHXAGY4Y		46		1		1		2,0,1		s2_c01_v03_e17		most delicious====add a little olive oil====add olive oil
47		A2D62XIREOVCH7		47		0		0		2,1,0		s2_c01_v03_e18		place dough on board====Put the flattened dough on the board (pizza peel)====round the mashed flour
48		A2LIUIHAJLPFC2		48		1		1		0,1		s2_c01_v03_e19		MAKE CHAPATHI====now were gonna use fresh
49		A27ZZCI4LRCBU7		49		1		1		0,1		s2_c01_v03_e21		ADD PLUM AND TOMATO SAUCE====fresh plum tomato sause
50		A16D2GVNFHEB9V		50		0		0		0,1		s2_c01_v03_e22		Add Sliced Mozarella====put mozarella
51		AGQOUDGB4N87B		51		@		silence		0,1		s2_c01_v04_e03		No rolling pin ====Add sauce
52		AN4NEBI7QWSNO		52		0		0		1,0		s2_c01_v04_e04		Add the cheese====make neopolitan pizza
53		AWTJ1X4WZQ7H6		53		1		1		0,1		s2_c01_v04_e05		place it in brick oven====put inside the ovan
54		A1BSOOHNHX51RI		54		1		1		0,1		s2_c01_v04_e09		Spread dough by hand.  No rolling pin may be used.====no rolling pin may be used
55		AWG0O1Y2ZKL2E		55		0		0		0,1		s2_c01_v04_e10		fire 485 c 60 second====485 Celsius for 60 seconds
56		AWTJ1X4WZQ7H6		56		0		0		1,0		s2_c01_v04_e11		neapolitan pizza fire 485 ====authentic neapolitan
57		A3FPQGM967TJER		57		1		1		0,1		s2_c01_v04_e12		put oil on the dove====add basil leaves and oil
